timestamp,timestamps_ns,has_image,model,class,confidence,x_min,y_min,x_max,y_max,dataset
,1754700603096085257,True,yolo26n,traffic light,0.3346485197544098,1723.7117919921875,479.7324523925781,1752.48193359375,523.2227783203125,W042_08-09-2025
,1754700603096085257,True,yolo26n,truck,0.2600325345993042,1112.697265625,684.0157470703125,1272.949462890625,788.9849853515625,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.8374964594841003,2228.460693359375,1145.10205078125,2560.0,1520.9647216796875,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.8128713369369507,2290.723876953125,825.1797485351562,2485.28076171875,941.3616333007812,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.6828783750534058,1495.1661376953125,980.987548828125,1950.3895263671875,1323.9833984375,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.6258838772773743,1290.4140625,642.4556274414062,1393.4727783203125,705.8448486328125,W042_08-09-2025
,1754700902647882662,True,yolo26n,truck,0.3649042844772339,1089.9244384765625,668.4854736328125,1235.611328125,783.5143432617188,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.34656545519828796,991.8779907226562,628.330078125,1085.4736328125,697.0535888671875,W042_08-09-2025
,1754700902647882662,True,yolo26n,car,0.3192346394062042,1089.9244384765625,668.4854736328125,1235.611328125,783.5143432617188,W042_08-09-2025
,1754701202531952786,True,yolo26n,traffic light,0.40462493896484375,1724.2237548828125,480.4105529785156,1753.2706298828125,525.8652954101562,W042_08-09-2025
,1754701202531952786,True,yolo26n,traffic light,0.3439061939716339,1587.115478515625,472.31707763671875,1617.9605712890625,522.935791015625,W042_08-09-2025
,1754701502763234431,True,yolo26n,car,0.6154271960258484,934.0784301757812,679.5997314453125,1038.7615966796875,760.19140625,W042_08-09-2025
,1754701502763234431,True,yolo26n,traffic light,0.3075338900089264,1725.4749755859375,481.68695068359375,1753.67138671875,525.3521728515625,W042_08-09-2025
,1754701502763234431,True,yolo26n,traffic light,0.25554797053337097,1499.6536865234375,449.7391052246094,1522.5745849609375,483.05316162109375,W042_08-09-2025
,1754701801472560047,True,yolo26n,car,0.6248997449874878,1357.73095703125,738.0209350585938,1586.6016845703125,868.3516845703125,W042_08-09-2025
,1754701801472560047,True,yolo26n,car,0.44917595386505127,1.09771728515625,1733.4775390625,605.1658325195312,1919.1175537109375,W042_08-09-2025
,1754701801472560047,True,yolo26n,car,0.389132022857666,2434.864013671875,832.5436401367188,2558.809326171875,952.8931884765625,W042_08-09-2025
,1754701801472560047,True,yolo26n,truck,0.37391337752342224,1563.5958251953125,847.4012451171875,2559.069091796875,1917.2449951171875,W042_08-09-2025
,1754701801472560047,True,yolo26n,car,0.3408777117729187,2436.680908203125,831.494384765625,2558.388916015625,939.3999633789062,W042_08-09-2025
,1754701801472560047,True,yolo26n,car,0.32313165068626404,974.3901977539062,613.94580078125,1033.490966796875,656.2546997070312,W042_08-09-2025
